Sample,Color,wl,spectra
1,Summersi_dors,870,25.62
1,Summersi_dors,871,25.555
1,Summersi_dors,872,25.4525
1,Summersi_dors,873,25.3
1,Summersi_dors,874,25.2575
1,Summersi_dors,875,25.25
1,Summersi_dors,876,25.295
1,Summersi_dors,877,25.2925
1,Summersi_dors,878,25.3075
1,Summersi_dors,879,25.3025
1,Summersi_dors,880,25.205
1,Summersi_dors,881,25.265
1,Summersi_dors,882,25.335
1,Summersi_dors,883,25.3675
1,Summersi_dors,884,25.3325
1,Summersi_dors,885,25.285
1,Summersi_dors,886,25.31
1,Summersi_dors,887,25.2
1,Summersi_dors,888,25.22
1,Summersi_dors,889,25.165
1,Summersi_dors,890,25.125
1,Summersi_dors,891,25.1275
1,Summersi_dors,892,25.0725
1,Summersi_dors,893,25.065
1,Summersi_dors,894,24.9775
1,Summersi_dors,895,24.985
1,Summersi_dors,896,25.1075
1,Summersi_dors,897,25.17
1,Summersi_dors,898,25.31
1,Summersi_dors,899,25.4075
1,Summersi_dors,900,25.355
1,Summersi_dors,901,25.37
1,Summersi_dors,902,25.3025
1,Summersi_dors,903,25.185
1,Summersi_dors,904,25.1325
1,Summersi_dors,905,25.0675
1,Summersi_dors,906,25.0025
1,Summersi_dors,907,24.9925
1,Summersi_dors,908,25.0425
1,Summersi_dors,909,24.93
1,Summersi_dors,910,25.0325
1,Summersi_dors,911,25.14
1,Summersi_dors,912,25.1425
1,Summersi_dors,913,25.2025
1,Summersi_dors,914,25.19
1,Summersi_dors,915,25.05
1,Summersi_dors,916,25.085
1,Summersi_dors,917,25.16
1,Summersi_dors,918,25.25
1,Summersi_dors,919,25.3425
1,Summersi_dors,920,25.405
1,Summersi_dors,921,25.3625
1,Summersi_dors,922,25.4075
1,Summersi_dors,923,25.4475
1,Summersi_dors,924,25.5375
1,Summersi_dors,925,25.5925
1,Summersi_dors,926,25.5825
1,Summersi_dors,927,25.595
1,Summersi_dors,928,25.605
1,Summersi_dors,929,25.5975
1,Summersi_dors,930,25.6225
1,Summersi_dors,931,25.655
1,Summersi_dors,932,25.68
1,Summersi_dors,933,25.7775
1,Summersi_dors,934,25.9775
1,Summersi_dors,935,26.185
1,Summersi_dors,936,26.355
1,Summersi_dors,937,26.4075
1,Summersi_dors,938,26.4725
1,Summersi_dors,939,26.5775
1,Summersi_dors,940,26.8375
1,Summersi_dors,941,27.0025
1,Summersi_dors,942,27.1825
1,Summersi_dors,943,27.185
1,Summersi_dors,944,27.0975
1,Summersi_dors,945,26.9425
1,Summersi_dors,946,26.8075
1,Summersi_dors,947,26.79
1,Summersi_dors,948,26.7625
1,Summersi_dors,949,26.94
1,Summersi_dors,950,27.0525
1,Summersi_dors,951,27.0075
1,Summersi_dors,952,27.005
1,Summersi_dors,953,26.8475
1,Summersi_dors,954,26.6925
1,Summersi_dors,955,26.6375
1,Summersi_dors,956,26.645
1,Summersi_dors,957,26.5375
1,Summersi_dors,958,26.545
1,Summersi_dors,959,26.6125
1,Summersi_dors,960,26.6575
1,Summersi_dors,961,26.605
1,Summersi_dors,962,26.6325
1,Summersi_dors,963,26.6225
1,Summersi_dors,964,26.45
1,Summersi_dors,965,26.3
1,Summersi_dors,966,26.305
1,Summersi_dors,967,26.3325
1,Summersi_dors,968,26.325
1,Summersi_dors,969,26.4225
1,Summersi_dors,970,26.5675
1,Summersi_dors,971,26.475
1,Summersi_dors,972,26.3825
1,Summersi_dors,973,26.3925
1,Summersi_dors,974,26.445
1,Summersi_dors,975,26.48
1,Summersi_dors,976,26.665
